Year,County,Site Name,X,Y
2017,Adams,ADA-130-092-36,-102.137853,46.045106
2017,Adams,ADA-132-097-16,-102.828478,46.260918
2017,Stark,Adam and Teresa Raab WMA,-102.609858,46.762944
2017,Grand Forks,Agnes Marsh WPA,-97.727203,48.085107
2017,Cass,Alice WPA 1,-97.533445,46.759485
2017,Bowman,Alkali Creek WMA,-103.306404,45.994351
2017,Sargent,Anderson WPA,-97.662246,46.099422
2017,Rolette,Armstrong WPA,-99.771805,48.667188
2017,Foster,Barlow WPA,-99.133546,47.55362
2017,Benson,BEN-151-070-14,-99.579875,47.903778
2017,Billings,BIL-144-099-36,-103.168682,47.245237
2017,Cavalier,Billings Lake WPA,-98.495715,48.615533
2017,Billings,BIL-Little Missouri NG 1,-103.237365,46.910116
2017,Logan,Boschee WPA,-99.400538,46.419452
2017,Bottineau,BOT-JCS NWR 1,-100.949023,48.863089
2017,Bottineau,BOT-JCS NWR 2,-100.697092,48.64483
2017,Bowman,BOW-130-103-36,-103.508538,46.037098
2017,Bowman,BOW-131-105-36,-103.761774,46.13274
2017,Burke,BRK-162-094-36,-102.822578,48.820962
2017,Burke,BRK-Des Lacs NWR 1,-102.195469,48.988028
2017,Burke,BRK-Lostwood NWR 1,-102.40343,48.661069
2017,Burleigh,BRL-Long Lake NWR,-100.221501,46.675923
2017,Billings,Bull Creek WMA,-103.271753,46.70853
2017,McIntosh,Camp Lake WMA,-99.156047,45.952655
2017,Towner,CC Underwood WMA,-99.419099,48.949084
2017,Slope,Cedar Lake WMA,-102.982891,46.294169
2017,Walsh,Charles C. Cook WMA,-97.886692,48.513755
2017,McLean,Charles Schroeder WMA,-100.642798,47.681333
2017,Stutsman,Chase Lake NWR,-99.462445,47.019058
2017,McLean,Coal Coulee WPA,-101.055579,47.446438
2017,LaMoure,Cornell WPA,-98.891247,46.483348
2017,LaMoure,Cottonwood Creek WMA,-98.301727,46.307826
2017,Ward,Danielson WPA,-101.421256,47.894978
2017,Kidder,Dawson WMA,-99.744324,46.765081
2017,Pembina,Denault WMA,-97.390666,48.997317
2017,Divide,DIV-161-101-36,-103.735052,48.726506
2017,Divide,Drawbond WPA,-103.933082,48.928734
2017,Dunn,DUN-142-093-16,-102.475668,47.125847
2017,Eddy,EDD-150-065-24,-98.925603,47.801788
2017,Eddy,EDD-150-067-3,-99.231942,47.837037
2017,Traill,Elken WPA,-97.448367,47.375039
2017,Cass,Erie Dam WMA,-97.42942,47.099056
2017,McIntosh,Eszlinger WPA,-99.397726,46.142334
2017,Griggs,Evers WPA,-98.360844,47.503219
2017,Walsh,Fairdale WPA,-98.235814,48.514394
2017,Pembina,Fitzsimond Slough WMA,-97.789134,48.94874
2017,Ransom,Fort Ransom WMA,-97.938166,46.520746
2017,Foster,FOS-147-062-26,-98.525493,47.518368
2017,Sioux,Froelich Dam WMA,-100.984745,46.167864
2017,Steele,Fugelstad WPA,-97.872532,47.247561
2017,Ward,Gaines WPA,-101.775862,48.1494
2017,Sargent,Gainor WPA,-97.403338,46.242367
2017,Foster,George Karpen WMA,-99.25129,47.331735
2017,Rolette,Ghost Valley WPA,-99.898989,48.548946
2017,Golden Valley,GOL-136-106-36,-103.931529,46.554206
2017,Golden Valley,GOL-144-105-36,-103.922942,47.253293
2017,Golden Valley,GOL-Little Missouri NG 1,-103.659414,46.968255
2017,Grant,GRA-137-088-16,-101.800031,46.680729
2017,Grant,GRA-Cedar River NG 1,-101.584315,46.070848
2017,Walsh,Greenwing WPA,-98.282576,48.41993
2017,Griggs,GRI-148-061-16,-98.451647,47.637272
2017,Griggs,GRI-148-061-36,-98.377549,47.592612
2017,Logan,Grohne WPA,-99.076121,46.286042
2017,Traill,Groven WPA,-97.428553,47.253253
2017,Dickey,Grunneich WPA,-98.97186,46.2216
2017,Richland,Hartleben WPA,-96.953006,46.084264
2017,Hettinger,HET-135-097-16,-102.872601,46.513097
2017,Mercer,Hille WMA,-101.677366,47.500116
2017,Hettinger,Hillsview WPA,-102.479877,46.58122
2017,Williams,Hofflund WMA,-103.014996,48.188025
2017,Wells,Hoornaert WPA,-99.635106,47.595878
2017,Adams,HREC,-102.662493,45.995915
2017,Hettinger,Indian Creek WMA,-102.619074,46.340158
2017,Sheridan,Johns Lake WPA,-100.498256,47.398719
2017,Wells,Karl T. Frederick WMA,-99.991591,47.338421
2017,McHenry,Keller WPA,-100.276838,47.991609
2017,Cass,Kemmer WPA,-97.569054,46.752175
2017,Ramsey,Kenner Marsh WMA,-99.030808,48.230678
2017,Ransom,Kenyons WPA,-97.970191,46.41852
2017,Kidder,KID-Long Lake NWR,-100.008478,46.726433
2017,Pierce,Kilgore Lake WPA,-100.133706,48.175455
2017,Dunn,Killdeer Mtns WMA 1,-102.998001,47.459271
2017,Mountrail,Kjallberg WPA,-101.972848,48.363305
2017,Emmons,Kurtz WPA,-100.228117,46.456071
2017,Dunn,Lake Ilo NWR,-102.685862,47.3511
2017,LaMoure,LAM-136-059-36,-98.037457,46.556946
2017,Bottineau,Lansford WPA,-101.363514,48.617586
2017,Dickey,Lazy M WPA,-98.944307,46.002673
2017,Barnes,Lettenmaier WPA,-97.780472,46.684822
2017,Sheridan,Lincoln Valley South WPA,-100.37961,47.645619
2017,Logan,LOG-Larson WPA,-99.065503,46.558706
2017,Pierce,Long Lake WPA,-99.825541,48.48316
2017,Ramsey,Lost Island WPA,-98.572316,47.941786
2017,Emmons,MacLean Bottoms WMA,-100.633061,46.627257
2017,Dickey,Maple River WMA,-98.355746,46.071233
2017,McHenry,MCH-JCS NWR,-100.421705,48.511698
2017,McKenzie,MCK-146-100-36,-103.372637,47.428769
2017,McKenzie,MCK-Little Missouri NG 1,-103.320158,47.639992
2017,McLean,MCL-150-082-36,-101.120121,47.767249
2017,Grand Forks,Mekinock WPA,-97.344805,47.975063
2017,Mercer,MER-143-089-36,-101.911317,47.159079
2017,Morton,MOR-134-083-36,-101.052518,46.377103
2017,Morton,MOR-140-089-16,-101.927459,46.941226
2017,Morton,Morton County WMA,-100.890324,46.660477
2017,Mountrail,MOU-154-093-36,-102.579936,48.114412
2017,Mountrail,MOU-Lostwood NWR,-102.421158,48.545219
2017,McIntosh,Mund WPA,-99.074455,46.282275
2017,Nelson,NEL-149-061-36,-98.404681,47.685755
2017,Nelson,NEL-150-061-21,-98.470318,47.793753
2017,Towner,Nikolaisen WPA,-99.225514,48.593681
2017,Mercer,North Beulah Mine WMA,-101.768465,47.305609
2017,Stutsman,Northwestern Lake WPA,-99.194762,47.217251
2017,McKenzie,Ochs Point WMA,-103.972248,47.955661
2017,Oliver,OLI-141-085-16,-101.467842,47.028002
2017,Oliver,OLI-143-082-16,-101.085543,47.204106
2017,Barnes,Olson WMA,-98.073244,46.659421
2017,Grant,Otter Creek WMA,-101.313265,46.54781
2017,Steele,Otto Spies WMA,-97.599323,47.289063
2017,Pembina,Pembina Prairie WPA,-97.277625,48.787828
2017,Kidder,Personius WPA,-99.74222,47.038139
2017,Ramsey,Pintail WPA,-98.89214,48.462722
2017,Grand Forks,Prairie Chicken WMA,-97.314725,48.134671
2017,Ransom,RAN-Sheyenne NG 1,-97.38058,46.35765
2017,Burleigh,Rath/Wonnenburg WPA,-100.213645,47.198158
