County,County Abbr,Dirty-Site,Clean-Site,Clean-Site-Abbr
Adams,ADA,ADA 130-092-36,130-092-36,ADA 130-092-36
Adams,ADA,ADA-130-092-36,130-092-36,ADA 130-092-36
Adams,ADA,ADA 132-097-16,132-097-16,ADA 132-097-16
Adams,ADA,ADA-132-097-16,132-097-16,ADA 132-097-16
Adams,ADA,Blaha Cedar Creek,Blaha Cedar Creek,ADA Blaha Cedar Creek
Adams,ADA,ADA Blaha Dozer Q,Blaha Dozer Q,ADA Blaha Dozer Q
Adams,ADA,Blaha Dozer Q,Blaha Dozer Q,ADA Blaha Dozer Q
Adams,ADA,ADA Blaha EZ Encha,Blaha EZ Encha,ADA Blaha EZ Encha
Adams,ADA,Blaha EZ Encha,Blaha EZ Encha,ADA Blaha EZ Encha
Adams,ADA,Blaha South Russian Slough,Blaha South Russian Slough,ADA Blaha South Russian Slough
Adams,ADA,ADA Blaha Wolf Butte,Blaha Wolf Butte,ADA Blaha Wolf Butte
Adams,ADA,Blaha Wolf Butte,Blaha Wolf Butte,ADA Blaha Wolf Butte
Adams,ADA,ADA Dayton,Dayton,ADA Dayton
Adams,ADA,Dayton,Dayton,ADA Dayton
Adams,ADA,ADA HREC,HREC,ADA HREC
Adams,ADA,ADA HREC 1,HREC,ADA HREC
Adams,ADA,HREC,HREC,ADA HREC
Barnes,BAR,BAR-141-061-28,141-061-28,BAR 141-061-28
Barnes,BAR,BAR 142-059-12,142-059-12,BAR 142-059-12
Barnes,BAR,BAR-142-059-12,142-059-12,BAR 142-059-12
Barnes,BAR,BAR Boom,Boom,BAR Boom
Barnes,BAR,Boom,Boom,BAR Boom
Barnes,BAR,BAR Clausen Springs WMA,Clausen Springs WMA,BAR Clausen Springs WMA
Barnes,BAR,Clausen Springs WMA,Clausen Springs WMA,BAR Clausen Springs WMA
Barnes,BAR,CLAUSEN SPRINGS WMA,Clausen Springs WMA,BAR Clausen Springs WMA
Barnes,BAR,BAR Legge,Legge,BAR Legge
Barnes,BAR,Legge,Legge,BAR Legge
Barnes,BAR,BAR Lettenmaier WPA,Lettenmaier WPA,BAR Lettenmaier WPA
Barnes,BAR,Lettenmaier WPA,Lettenmaier WPA,BAR Lettenmaier WPA
Barnes,BAR,Lettenmeier WPA,Lettenmaier WPA,BAR Lettenmaier WPA
Barnes,BAR,BAR Olson WMA,Olson WMA,BAR Olson WMA
Barnes,BAR,Olson WMA,Olson WMA,BAR Olson WMA
Barnes,BAR,Rasmusson,Rasmusson,BAR Rasmusson
Barnes,BAR,BAR Stoney Slough WPA,Stoney Slough WPA,BAR Stoney Slough WPA
Barnes,BAR,Stoney Slough WPA,Stoney Slough WPA,BAR Stoney Slough WPA
