County Abbr,Clean-Site,Clean-Site-Abbr,indata,incoords
ADA,130-092-36,ADA 130-092-36,1,1
ADA,132-097-16,ADA 132-097-16,1,1
ADA,Blaha Cedar Creek,ADA Blaha Cedar Creek,1,1
ADA,Blaha Dozer Q,ADA Blaha Dozer Q,1,1
ADA,Blaha EZ Encha,ADA Blaha EZ Encha,1,1
ADA,Blaha South Russian Slough,ADA Blaha South Russian Slough,1,1
ADA,Blaha Wolf Butte,ADA Blaha Wolf Butte,1,1
ADA,Dayton,ADA Dayton,1,1
ADA,HREC,ADA HREC,1,1
BAR,141-061-28,BAR 141-061-28,1,1
BAR,142-059-12,BAR 142-059-12,1,1
BAR,Boom,BAR Boom,1,1
BAR,Clausen Springs WMA,BAR Clausen Springs WMA,1,1
BAR,Legge,BAR Legge,1,1
BAR,Lettenmaier WPA,BAR Lettenmaier WPA,1,1
BAR,Olson WMA,BAR Olson WMA,1,1
BAR,Rasmusson,BAR Rasmusson,1,1
BAR,Stoney Slough WPA,BAR Stoney Slough WPA,1,1
BEN,151-070-14,BEN 151-070-14,1,1
BEN,151-070-16,BEN 151-070-16,1,1
BEN,156-071-16,BEN 156-071-16,1,1
BEN,Deep Valley WPA,BEN Deep Valley WPA,1,1
BEN,Elstad,BEN Elstad,1,1
BEN,Knox WPA,BEN Knox WPA,1,1
BEN,Orts,BEN Orts,1,1
BEN,Sully's Hill NWR,BEN Sully's Hill NWR,1,0
BEN,Sully's Lake NWR,BEN Sully's Lake NWR,1,0
BEN,Twin Lakes WPA,BEN Twin Lakes WPA,1,1
BEN,White Horse Hill NWR,BEN White Horse Hill NWR,0,1
BIL,144-099-36,BIL 144-099-36,1,1
BIL,Bull Creek WMA,BIL Bull Creek WMA,1,1
BIL,Little Missouri NG 1,BIL Little Missouri NG 1,1,1
BIL,Little Missouri NG 2,BIL Little Missouri NG 2,1,1
BIL,Little Missouri NG 3,BIL Little Missouri NG 3,1,1
BIL,Little Missouri NG 4,BIL Little Missouri NG 4,1,1
BIL,Odermann East,BIL Odermann East,1,1
BIL,Odermann West,BIL Odermann West,1,1
BIL,Shade,BIL Shade,1,1
BOT,160-080-36,BOT 160-080-36,1,1
BOT,164-083-36,BOT 164-083-36,1,1
BOT,Beatty WPA,BOT Beatty WPA,1,1
BOT,JCS NWR 1,BOT JCS NWR 1,1,1
BOT,JCS NWR 2,BOT JCS NWR 2,1,1
BOT,JCS NWR 3,BOT JCS NWR 3,1,1
BOT,JCS NWR 4,BOT JCS NWR 4,1,1
BOT,Lansford WPA,BOT Lansford WPA,1,1
BOT,Turtle Mountain WMA,BOT Turtle Mountain WMA,1,1
BOW,130-103-36,BOW 130-103-36,1,1
BOW,131-105-36,BOW 131-105-36,1,1
BOW,132-102-36,BOW 132-102-36,1,1
BOW,Alkali Creek WMA,BOW Alkali Creek WMA,1,1
BOW,Hansen,BOW Hansen,1,1
BOW,Kromerek,BOW Kromerek,1,1
BOW,Spring Creek WMA,BOW Spring Creek WMA,1,1
BOW,Tom Fish,BOW Tom Fish,1,1
BOW,White,BOW White,1,1
BRK,162-094-36,BRK 162-094-36,1,1
BRK,Des Lacs NWR 1,BRK Des Lacs NWR 1,1,1
BRK,Des Lacs NWR 2,BRK Des Lacs NWR 2,1,1
BRK,Lostwood NWR 1,BRK Lostwood NWR 1,1,1
BRK,Lostwood NWR 2,BRK Lostwood NWR 2,1,1
BRK,Staael North,BRK Staael North,1,1
BRK,Staael South 1,BRK Staael South 1,1,1
BRK,Staael South 2,BRK Staael South 2,1,1
BRK,Staael South 3,BRK Staael South 3,1,1
BUR,137-078-36,BUR 137-078-36,1,1
BUR,141-075-36,BUR 141-075-36,1,1
BUR,141-078-16,BUR 141-078-16,1,1
BUR,Art Brazda WMA,BUR Art Brazda WMA,1,1
BUR,Cutting,BUR Cutting,1,1
BUR,Long Lake NWR,BUR Long Lake NWR,1,1
BUR,Rath/Wonnenburg WPA,BUR Rath/Wonnenburg WPA,1,1
BUR,Russ Stuart WMA,BUR Russ Stuart WMA,1,1
BUR,RW Henderson WMA,BUR RW Henderson WMA,1,1
CAS,Alice WPA 1,CAS Alice WPA 1,1,1
CAS,Alice WPA 2,CAS Alice WPA 2,1,1
CAS,Erie Dam WMA,CAS Erie Dam WMA,1,1
CAS,Erie Dam WMA 2,CAS Erie Dam WMA 2,1,1
CAS,Hamilton Wills WMA,CAS Hamilton Wills WMA,1,1
CAS,Kemmer WPA,CAS Kemmer WPA,1,1
CAS,Stordalen,CAS Stordalen,1,1
CAS,Torgerson,CAS Torgerson,1,1
CAS,Trego,CAS Trego,1,1
CAV,Billings Lake WPA,CAV Billings Lake WPA,1,1
CAV,Mulberry Creek WPA,CAV Mulberry Creek WPA,1,1
CAV,Pembina Hills WMA,CAV Pembina Hills WMA,1,1
CAV,Pung WPA,CAV Pung WPA,1,1
CAV,Schill,CAV Schill,1,1
CAV,Stinkeoway WPA,CAV Stinkeoway WPA,1,1
CAV,Thorson WPA,CAV Thorson WPA,1,1
CAV,Ullyot WPA,CAV Ullyot WPA,1,1
CAV,Wengeler WPA,CAV Wengeler WPA,1,1
DIC,Bluestem Prairie WMA,DIC Bluestem Prairie WMA,1,1
DIC,Brummond,DIC Brummond,1,1
DIC,Burkhardt,DIC Burkhardt,1,1
DIC,Grunneich WPA,DIC Grunneich WPA,1,1
DIC,Johnson's Gulch WMA,DIC Johnson's Gulch WMA,1,1
DIC,Lazy M WPA,DIC Lazy M WPA,1,1
DIC,Maple River WMA,DIC Maple River WMA,1,1
DIC,Sand,DIC Sand,1,1
DIC,Sand 2,DIC Sand 2,1,1
DIV,161-101-36,DIV 161-101-36,1,1
DIV,161-102-16,DIV 161-102-16,1,1
DIV,162-102-36,DIV 162-102-36,1,1
DIV,Drawbond WPA,DIV Drawbond WPA,1,1
DIV,Gillund,DIV Gillund,1,1
DIV,Hall,DIV Hall,1,1
DIV,Salt Flats WMA,DIV Salt Flats WMA,1,1
DIV,Soo Grade WPA,DIV Soo Grade WPA,1,1
DIV,Wenstad,DIV Wenstad,1,1
DUN,142-093-16,DUN 142-093-16,1,1
DUN,142-097-16,DUN 142-097-16,1,1
DUN,146-091-16,DUN 146-091-16,1,1
DUN,Killdeer Mtns WMA,DUN Killdeer Mtns WMA,1,1
DUN,Killdeer Mtns WMA 2,DUN Killdeer Mtns WMA 2,1,1
DUN,Lake Ilo NWR,DUN Lake Ilo NWR,1,1
DUN,Tuhy,DUN Tuhy,1,1
DUN,Voigt,DUN Voigt,1,1
DUN,Zahn,DUN Zahn,1,1
EDD,150-065-07,EDD 150-065-07,1,1
EDD,150-065-24,EDD 150-065-24,1,1
EDD,150-067-03,EDD 150-067-03,1,1
EDD,Haven WPA,EDD Haven WPA,1,1
EDD,Lake Washington WMA,EDD Lake Washington WMA,1,1
EDD,Langley WPA,EDD Langley WPA,1,1
EDD,Larson WPA,EDD Larson WPA,1,1
EDD,Swan Lake WPA,EDD Swan Lake WPA,1,1
EDD,Wallace WPA,EDD Wallace WPA,1,1
EMM,129-077-16,EMM 129-077-16,1,1
EMM,132-078-16,EMM 132-078-16,1,1
EMM,133-074-16,EMM 133-074-16,1,1
EMM,Hague WMA,EMM Hague WMA,1,1
EMM,Krumm,EMM Krumm,1,1
EMM,Kurtz WPA,EMM Kurtz WPA,1,1
EMM,MacLean Bottoms WMA,EMM MacLean Bottoms WMA,1,1
EMM,Schiermeister WPA,EMM Schiermeister WPA,1,1
