"eventID","measurementType","measurementValue"
"0089","litter","86.25"
"0089","litter.depth","5.32"
"0089","poapra","0"
"0089","broine","2.16"
"0089","forb.cover","7.2"
"0089","ave.forb.richness.quad","1.84"
"0089","max.forb.richness.quad","5"
"0089","forb.veg.richness","22"
"0089","forb.veg.shannon","2.33"
"0089","forb.veg.simpson","6.66"
"0089","forb.veg.even","0.75"
"0089","ratio.invasive.grass.to.forbs","0.3"
"0087","litter","82.09"
"0087","litter.depth","13.05"
"0087","poapra","0"
"0087","broine","0.17"
"0087","forb.cover","7.09"
"0087","ave.forb.richness.quad","1.64"
"0087","max.forb.richness.quad","4"
"0087","forb.veg.richness","12"
"0087","forb.veg.shannon","1.82"
"0087","forb.veg.simpson","4.82"
"0087","forb.veg.even","0.73"
"0087","ratio.invasive.grass.to.forbs","0.02"
"0292","litter","84.59"
"0292","litter.depth","2.92"
"0292","poapra","0.03"
"0292","broine","0.03"
"0292","forb.cover","5.34"
"0292","ave.forb.richness.quad","1.78"
"0292","max.forb.richness.quad","6"
"0292","forb.veg.richness","14"
"0292","forb.veg.shannon","1.98"
"0292","forb.veg.simpson","5.08"
"0292","forb.veg.even","0.75"
"0292","ratio.invasive.grass.to.forbs","0.01"
"0068","litter","64.59"
"0068","litter.depth","4.58"
"0068","poapra","33.55"
"0068","broine","9.49"
"0068","forb.cover","29.09"
"0068","ave.forb.richness.quad","4.05"
"0068","max.forb.richness.quad","9"
"0068","forb.veg.richness","28"
"0068","forb.veg.shannon","2.61"
"0068","forb.veg.simpson","9.84"
"0068","forb.veg.even","0.78"
"0068","ratio.invasive.grass.to.forbs","1.48"
"0174","litter","61.39"
"0174","litter.depth","4.09"
"0174","poapra","13.41"
"0174","broine","37.87"
"0174","forb.cover","10.24"
"0174","ave.forb.richness.quad","1.42"
"0174","max.forb.richness.quad","5"
"0174","forb.veg.richness","11"
"0174","forb.veg.shannon","1.7"
"0174","forb.veg.simpson","4.62"
"0174","forb.veg.even","0.71"
"0174","ratio.invasive.grass.to.forbs","5.01"
"0202","litter","60.74"
"0202","litter.depth","3.08"
"0202","poapra","37.03"
"0202","broine","8.11"
"0202","forb.cover","29.49"
"0202","ave.forb.richness.quad","3.66"
"0202","max.forb.richness.quad","7"
"0202","forb.veg.richness","25"
"0202","forb.veg.shannon","2.19"
"0202","forb.veg.simpson","6.11"
"0202","forb.veg.even","0.68"
"0202","ratio.invasive.grass.to.forbs","1.53"
"0084","litter","64.36"
"0084","litter.depth","4.21"
