"resourceID","relatedResourceID","relationshipOfResource"
"4e8d9d77c1c9d0e0b5bd177073fbc343","3b8326be0ccb3a0bffc3524e003c7226","resting"
"5a20a722790be6a172d389819f21ac65","ce04046e1de769a47c659f69d2870064","nectaring"
"9c1acb36242b3e81dfc4a53a9c367acc","9e4922fc7edf85a53e2069d1fe41f309","resting"
"75b67840908d7e039a40a69661112716","2d47b903a9c6bc4a76be6e41eff00f83","nectaring"
"781c341f2e51d50a6a1c8fcab5b96b9a","b9205f4f0107f587147ff1b49fd5270e","nectaring"
"d9dc4f3dd33304d51e2ec1c0d8f25ced","a232d737be815ab8bcd7f02e9e9953a1","nectaring"
"fa8e57877e8ccab294ca241e5a86e264","d667f2b7cbd2db3342be91f8f7e7b8aa","nectaring"
"8962360985c2f0621b7f115cc7e11a76","2a79a5941def7c73855348d704343248","resting"
"53e007b83277b135ecef8a957d5bb9f0","a57d03d5b9297a6527b22f7a900464a5","nectaring"
"47210081077ed77e7b282932839f910d","a57d03d5b9297a6527b22f7a900464a5","nectaring"
"d7cbff6b13fee2015c0df70e60ef5959","c9b03f6c6c4831556a4e89ccdd853db1","mating"
"73754b7d8de64835174e7a9e3830cc44","c9b03f6c6c4831556a4e89ccdd853db1","resting"
"07f8b64bd2f9cb6e8ca232973de18826","6712a059a953f21f9cf0a773e262d9ff","nectaring"
"b8d50ee94fdc170ef0ca8a38dbff70aa","09cb6a1fe656a596e86e62e8f8122678","nectaring"
"7f9ae429bdd9611685d7a9c6ea7bfb9d","c2c72a63ed08809e1f67d680f039089c","nectaring"
"20c3fca0f279ad1a7e3b1b9e81daa4e1","a0a30fd258c33587fbbf79c767c0dd39","nectaring"
"e73a70aa777c3fb4f4c075f711f73b22","a0a30fd258c33587fbbf79c767c0dd39","nectaring"
"07746c2e06e62b2ac84ffc6081cdcda8","efebf7f405061a8156bb6becae15797f","nectaring"
"17c957249bc2eb040d5edcce37c3d46d","684fcc69f1ac7c3f0fcb480fd9117242","resting"
"52ac18b2d3b7e48fe8514b224215a371","009b785393472b0bb0df30fb5553aa24","nectaring"
"51efdea33a9e3f9a18e4c03a76eda7a3","f66259d31dbb78c52ef34e785c88dc63","resting"
"a41fd9fac9f6591ddb07a83f2a0d8404","a211b86b684ebe92ea6f4cecdaa2b262","basking"
"d3a6591e1742e5e5044967554151caee","84c39d4293f493e90e8e5dc219e6883b","nectaring"
"6ff1e7e665c7f99ab279e58135514056","b4087f0e04abe9c60649a4f2177bd6d3","resting"
"b183edc0adccc5402d183621bfad5c1e","df9342ccc1e4e7dea87cd65212f60bc8","nectaring"
"abd3963b500ff9aab458733381be7b33","3ee90702e2823e8767eef7412f0df54c","nectaring"
"3a46c93ccc78c0f2d5152cb053721b10","adc3fa6da9eccecc7b608d5ee4532de1","resting"
"7fac703558567abeacd620835740a78e","30de96c038a61592db90dea042274701","resting"
"d401dcfe40ad68a17afd3d86cd33f698","6af291f0fcfc59ab4a6e348039da1faa","resting"
"f63ab37ebefe26e195294b23f67bfdd8","eb2c4248aa98695dcc910bda72603836","nectaring"
